author,upvotes,label,author_count
48775,23,none,4138
48775,16,none,4138
48775,11,none,4138
48775,22,none,4138
48775,4,none,4138
48775,17,spam,4138
48775,22,none,4138
48775,14,none,4138
48775,18,none,4138
48775,15,none,4138
48775,20,none,4138
48775,5,none,4138
48775,19,none,4138
48775,12,none,4138
48775,4,none,4138
48775,9,none,4138
48775,9,none,4138
48775,9,none,4138
48775,10,none,4138
48775,7,spam,4138
48775,7,none,4138
48775,18,none,4138
48775,19,none,4138
48775,17,none,4138
48775,17,none,4138
48775,4,none,4138
48775,6,none,4138
48775,19,none,4138
48775,22,none,4138
48775,5,none,4138
48775,22,none,4138
48775,6,none,4138
48775,23,none,4138
48775,5,none,4138
48775,9,none,4138
48775,14,none,4138
48775,5,none,4138
48775,5,none,4138
48775,19,spam,4138
48775,22,none,4138
48775,4,none,4138
48775,15,none,4138
48775,17,none,4138
48775,6,none,4138
48775,10,none,4138
48775,17,none,4138
48775,4,none,4138
48775,22,none,4138
48775,17,none,4138
48775,22,none,4138
48775,17,none,4138
48775,8,none,4138
48775,14,spam,4138
48775,9,none,4138
48775,21,none,4138
48775,12,spam,4138
48775,22,none,4138
48775,19,none,4138
48775,10,none,4138
48775,14,none,4138
48775,18,none,4138
48775,23,none,4138
48775,13,none,4138
48775,14,none,4138
48775,22,none,4138
48775,21,none,4138
48775,7,none,4138
48775,6,none,4138
48775,15,none,4138
48775,9,spam,4138
48775,9,none,4138
48775,15,none,4138
48775,12,none,4138
48775,8,none,4138
48775,23,none,4138
48775,4,none,4138
48775,15,none,4138
48775,13,none,4138
48775,19,none,4138
48775,14,none,4138
48775,20,none,4138
48775,6,none,4138
48775,9,none,4138
48775,7,none,4138
48775,20,none,4138
48775,4,none,4138
48775,7,none,4138
48775,9,none,4138
48775,19,spam,4138
48775,6,none,4138
48775,9,none,4138
48775,10,none,4138
48775,12,none,4138
48775,13,none,4138
48775,23,none,4138
48775,21,none,4138
48775,11,none,4138
48775,19,none,4138
48775,10,none,4138
48775,21,none,4138
48775,10,none,4138
48775,4,none,4138
48775,8,none,4138
48775,16,spam,4138
48775,11,none,4138
48775,12,spam,4138
48775,7,none,4138
48775,9,none,4138
48775,5,none,4138
48775,23,none,4138
48775,13,none,4138
48775,23,none,4138
48775,11,none,4138
48775,7,none,4138
48775,19,none,4138
48775,17,none,4138
48775,6,none,4138
48775,21,none,4138
48775,5,none,4138
48775,4,none,4138
48775,16,none,4138
48775,20,none,4138
48775,4,none,4138
48775,20,none,4138
48775,10,none,4138
48775,7,none,4138
48775,22,none,4138
48775,17,none,4138
48775,15,none,4138
48775,16,none,4138
48775,14,none,4138
48775,18,none,4138
48775,4,none,4138
48775,14,none,4138
48775,17,none,4138
48775,22,none,4138
48775,22,none,4138
48775,14,spam,4138
48775,12,spam,4138
48775,20,none,4138
48775,6,spam,4138
48775,21,none,4138
48775,14,none,4138
48775,11,none,4138
48775,16,none,4138
48775,23,none,4138
48775,8,none,4138
48775,20,none,4138
48775,20,none,4138
48775,11,none,4138
48775,11,none,4138
48775,10,none,4138
48775,8,none,4138
48775,4,none,4138
48775,7,spam,4138
48775,12,none,4138
48775,21,none,4138
48775,11,none,4138
48775,9,none,4138
48775,11,none,4138
48775,7,none,4138
48775,17,none,4138
48775,11,none,4138
48775,8,none,4138
48775,7,none,4138
48775,19,none,4138
48775,5,none,4138
48775,22,none,4138
48775,9,none,4138
48775,21,none,4138
48775,7,spam,4138
48775,7,spam,4138
48775,6,spam,4138
48775,5,none,4138
48775,10,spam,4138
48775,12,none,4138
48775,14,none,4138
48775,12,spam,4138
48775,18,none,4138
48775,14,none,4138
48775,16,none,4138
48775,9,none,4138
48775,19,none,4138
48775,6,none,4138
48775,7,none,4138
48775,23,none,4138
48775,11,none,4138
48775,22,none,4138
48775,8,none,4138
48775,18,none,4138
48775,14,none,4138
48775,9,none,4138
48775,17,spam,4138
48775,16,none,4138
48775,22,none,4138
48775,12,spam,4138
48775,22,none,4138
48775,15,none,4138
48775,22,none,4138
48775,8,none,4138
48775,9,none,4138
48775,10,none,4138
48775,18,none,4138
48775,17,none,4138
48775,9,none,4138
48775,23,none,4138
48775,5,none,4138
48775,12,none,4138
48775,5,none,4138
48775,22,none,4138
48775,4,none,4138
48775,4,spam,4138
48775,8,none,4138
48775,12,none,4138
48775,14,none,4138
48775,4,none,4138
48775,19,none,4138
48775,12,none,4138
48775,6,none,4138
48775,23,none,4138
48775,12,spam,4138
48775,21,none,4138
48775,6,none,4138
48775,8,none,4138
48775,17,none,4138
48775,10,none,4138
48775,6,spam,4138
48775,23,none,4138
48775,23,none,4138
48775,12,none,4138
48775,18,spam,4138
48775,6,none,4138
48775,22,none,4138
48775,20,none,4138
48775,10,none,4138
48775,17,none,4138
48775,4,none,4138
48775,11,none,4138
48775,18,spam,4138
48775,8,spam,4138
48775,14,none,4138
48775,22,none,4138
48775,9,spam,4138
48775,14,spam,4138
48775,17,none,4138
48775,22,none,4138
48775,21,none,4138
48775,8,none,4138
48775,17,spam,4138
48775,7,none,4138
48775,12,none,4138
48775,7,none,4138
48775,22,none,4138
48775,17,none,4138
48775,19,none,4138
48775,8,none,4138
48775,7,none,4138
48775,19,none,4138
48775,13,none,4138
48775,10,none,4138
48775,10,spam,4138
48775,14,none,4138
48775,4,none,4138
48775,13,spam,4138
48775,8,none,4138
48775,16,none,4138
48775,18,none,4138
48775,9,none,4138
48775,14,none,4138
48775,10,none,4138
48775,9,none,4138
48775,13,none,4138
48775,10,none,4138
48775,17,none,4138
48775,21,none,4138
48775,20,none,4138
48775,15,spam,4138
48775,9,spam,4138
48775,21,none,4138
48775,13,none,4138
48775,4,none,4138
48775,20,none,4138
48775,20,none,4138
48775,6,none,4138
48775,20,none,4138
48775,15,none,4138
48775,8,none,4138
48775,4,none,4138
48775,17,none,4138
48775,11,none,4138
48775,20,none,4138
48775,15,none,4138
48775,9,none,4138
48775,15,spam,4138
48775,22,none,4138
48775,10,spam,4138
48775,13,none,4138
48775,14,none,4138
48775,19,none,4138
48775,8,spam,4138
48775,13,none,4138
48775,6,none,4138
48775,10,none,4138
48775,10,none,4138
48775,4,none,4138
48775,12,none,4138
48775,11,none,4138
48775,11,none,4138
48775,20,none,4138
48775,6,none,4138
48775,16,none,4138
48775,7,none,4138
48775,22,none,4138
48775,17,none,4138
48775,17,none,4138
48775,13,none,4138
48775,19,spam,4138
48775,16,none,4138
48775,19,none,4138
48775,15,none,4138
48775,10,none,4138
48775,4,spam,4138
48775,23,none,4138
48775,21,none,4138
48775,7,spam,4138
48775,22,none,4138
48775,21,none,4138
48775,20,none,4138
48775,11,none,4138
48775,6,none,4138
48775,17,none,4138
48775,17,spam,4138
48775,15,none,4138
48775,18,none,4138
48775,7,none,4138
48775,7,none,4138
48775,19,none,4138
48775,13,none,4138
48775,14,none,4138
48775,17,none,4138
48775,17,none,4138
48775,5,none,4138
48775,16,none,4138
48775,19,none,4138
48775,16,none,4138
48775,23,none,4138
48775,20,none,4138
48775,22,none,4138
48775,12,none,4138
48775,14,none,4138
48775,21,none,4138
48775,11,spam,4138
48775,15,none,4138
48775,8,none,4138
48775,15,none,4138
48775,23,none,4138
48775,4,none,4138
48775,19,none,4138
48775,17,none,4138
48775,7,none,4138
48775,12,none,4138
48775,16,none,4138
48775,19,none,4138
48775,17,spam,4138
48775,9,none,4138
48775,16,none,4138
48775,6,none,4138
48775,6,none,4138
48775,11,none,4138
48775,15,none,4138
48775,5,spam,4138
48775,9,none,4138
48775,15,none,4138
48775,9,none,4138
48775,21,none,4138
48775,4,none,4138
48775,14,none,4138
48775,10,none,4138
48775,13,spam,4138
48775,16,none,4138
48775,10,none,4138
48775,12,none,4138
48775,17,none,4138
48775,12,spam,4138
48775,17,none,4138
48775,15,none,4138
48775,17,none,4138
48775,22,none,4138
48775,9,none,4138
48775,18,none,4138
48775,23,none,4138
48775,18,none,4138
48775,17,none,4138
48775,10,spam,4138
48775,18,none,4138
48775,12,none,4138
48775,23,none,4138
48775,21,none,4138
48775,13,none,4138
48775,11,none,4138
48775,11,none,4138
48775,4,none,4138
48775,22,none,4138
48775,23,none,4138
48775,16,none,4138
48775,11,none,4138
48775,8,none,4138
48775,21,none,4138
48775,5,none,4138
48775,23,none,4138
48775,10,none,4138
48775,13,spam,4138
48775,10,none,4138
48775,20,none,4138
48775,11,none,4138
48775,8,none,4138
48775,17,spam,4138
48775,19,none,4138
48775,13,none,4138
48775,10,none,4138
48775,22,none,4138
48775,10,spam,4138
48775,19,none,4138
48775,18,none,4138
48775,13,none,4138
48775,13,none,4138
48775,8,none,4138
48775,12,none,4138
48775,6,none,4138
48775,23,none,4138
48775,7,none,4138
48775,5,none,4138
48775,13,none,4138
48775,10,spam,4138
48775,15,none,4138
48775,18,none,4138
48775,21,none,4138
48775,20,none,4138
48775,9,none,4138
48775,20,none,4138
48775,21,none,4138
48775,22,none,4138
48775,11,none,4138
48775,4,none,4138
48775,20,none,4138
48775,18,none,4138
48775,15,none,4138
48775,10,none,4138
48775,18,none,4138
48775,10,none,4138
48775,10,none,4138
48775,17,none,4138
48775,7,none,4138
48775,11,none,4138
48775,4,spam,4138
48775,16,none,4138
48775,6,none,4138
48775,4,none,4138
48775,8,none,4138
48775,18,none,4138
48775,17,none,4138
48775,5,none,4138
48775,12,none,4138
48775,8,none,4138
48775,4,none,4138
48775,6,spam,4138
48775,5,none,4138
48775,12,none,4138
48775,23,none,4138
48775,7,none,4138
48775,18,none,4138
48775,4,none,4138
48775,7,none,4138
48775,10,none,4138
48775,12,none,4138
48775,21,none,4138
48775,11,none,4138
48775,5,none,4138
48775,23,none,4138
48775,8,spam,4138
48775,9,none,4138
48775,9,none,4138
48775,19,none,4138
48775,17,none,4138
48775,16,spam,4138
48775,4,none,4138
48775,13,none,4138
48775,11,none,4138
48775,14,none,4138
48775,5,none,4138
48775,14,none,4138
48775,8,none,4138
48775,15,none,4138
48775,17,none,4138
48775,15,none,4138
48775,13,spam,4138
48775,16,none,4138
48775,6,none,4138
48775,8,none,4138
48775,17,none,4138
48775,8,none,4138
48775,8,none,4138
48775,21,none,4138
48775,13,none,4138
48775,13,none,4138
48775,11,none,4138
48775,22,none,4138
48775,13,none,4138
48775,23,none,4138
48775,23,none,4138
48775,20,none,4138
48775,18,none,4138
48775,8,none,4138
48775,5,none,4138
48775,5,none,4138
48775,12,none,4138
48775,21,none,4138
48775,17,none,4138
48775,11,spam,4138
48775,14,none,4138
48775,8,none,4138
48775,12,none,4138
48775,18,none,4138
48775,19,none,4138
48775,12,none,4138
48775,7,none,4138
48775,11,spam,4138
48775,9,none,4138
48775,15,spam,4138
48775,14,none,4138
48775,18,none,4138
48775,11,none,4138
48775,9,spam,4138
48775,5,none,4138
48775,16,none,4138
48775,10,none,4138
48775,22,none,4138
48775,7,none,4138
48775,11,none,4138
48775,6,none,4138
48775,12,none,4138
48775,15,none,4138
48775,6,none,4138
48775,10,none,4138
48775,16,none,4138
48775,7,none,4138
48775,17,none,4138
48775,4,spam,4138
48775,8,none,4138
48775,14,none,4138
48775,21,none,4138
48775,22,none,4138
48775,12,none,4138
48775,4,none,4138
48775,12,none,4138
48775,4,none,4138
48775,9,none,4138
48775,14,none,4138
48775,8,none,4138
48775,10,none,4138
48775,21,none,4138
48775,13,none,4138
48775,16,none,4138
48775,14,none,4138
48775,18,none,4138
48775,10,none,4138
48775,14,none,4138
48775,18,none,4138
48775,5,spam,4138
48775,10,none,4138
48775,21,none,4138
48775,22,none,4138
48775,20,none,4138
48775,7,none,4138
48775,15,none,4138
48775,21,none,4138
48775,23,none,4138
48775,6,none,4138
48775,13,spam,4138
48775,12,none,4138
48775,16,none,4138
48775,13,none,4138
48775,20,none,4138
48775,18,none,4138
48775,5,none,4138
48775,9,none,4138
48775,23,none,4138
48775,14,none,4138
48775,16,none,4138
48775,19,none,4138
48775,13,none,4138
48775,4,none,4138
48775,18,none,4138
48775,17,none,4138
48775,14,none,4138
48775,8,none,4138
48775,5,spam,4138
48775,11,none,4138
48775,5,none,4138
48775,10,none,4138
48775,15,none,4138
48775,14,none,4138
48775,12,none,4138
48775,8,none,4138
48775,8,none,4138
48775,9,none,4138
48775,17,none,4138
48775,20,none,4138
48775,15,none,4138
48775,10,spam,4138
48775,17,none,4138
48775,4,none,4138
48775,15,none,4138
48775,11,none,4138
48775,23,none,4138
48775,23,none,4138
48775,16,none,4138
48775,23,none,4138
48775,19,none,4138
48775,15,none,4138
48775,16,spam,4138
48775,23,none,4138
48775,19,none,4138
48775,4,spam,4138
48775,4,spam,4138
48775,17,none,4138
48775,21,none,4138
48775,5,none,4138
48775,12,none,4138
48775,15,none,4138
48775,7,none,4138
48775,14,none,4138
48775,17,none,4138
48775,20,none,4138
48775,23,none,4138
48775,15,none,4138
48775,20,none,4138
48775,15,none,4138
48775,22,none,4138
48775,16,none,4138
48775,4,spam,4138
48775,18,none,4138
48775,22,none,4138
48775,18,none,4138
48775,21,none,4138
48775,10,none,4138
48775,20,none,4138
48775,22,none,4138
48775,17,spam,4138
48775,21,none,4138
48775,11,none,4138
48775,20,none,4138
48775,20,none,4138
48775,18,none,4138
48775,11,none,4138
48775,22,none,4138
48775,8,spam,4138
48775,14,none,4138
48775,15,none,4138
48775,14,none,4138
48775,11,none,4138
48775,14,none,4138
48775,10,none,4138
48775,22,none,4138
48775,15,none,4138
48775,15,none,4138
48775,19,none,4138
48775,16,none,4138
48775,14,none,4138
48775,17,none,4138
48775,7,none,4138
48775,10,none,4138
48775,19,none,4138
48775,9,spam,4138
48775,7,none,4138
48775,18,none,4138
48775,14,none,4138
48775,11,none,4138
48775,6,none,4138
48775,10,none,4138
48775,18,none,4138
48775,22,none,4138
48775,8,none,4138
48775,18,none,4138
48775,19,none,4138
48775,8,none,4138
48775,14,none,4138
48775,11,none,4138
48775,6,none,4138
48775,22,none,4138
48775,11,none,4138
48775,21,none,4138
48775,19,none,4138
48775,21,none,4138
48775,18,spam,4138
48775,22,none,4138
48775,7,none,4138
48775,9,none,4138
48775,21,none,4138
48775,22,none,4138
48775,20,none,4138
48775,21,none,4138
48775,13,spam,4138
48775,14,none,4138
48775,7,none,4138
48775,21,none,4138
48775,13,none,4138
48775,15,none,4138
48775,15,none,4138
48775,5,none,4138
48775,14,spam,4138
48775,16,none,4138
48775,11,none,4138
48775,22,none,4138
48775,15,none,4138
48775,13,none,4138
48775,22,none,4138
48775,10,none,4138
48775,15,none,4138
48775,19,none,4138
48775,21,none,4138
48775,6,none,4138
48775,15,none,4138
48775,21,none,4138
48775,13,none,4138
48775,11,none,4138
48775,11,none,4138
48775,13,none,4138
48775,12,none,4138
48775,7,none,4138
48775,19,none,4138
48775,20,none,4138
48775,23,none,4138
48775,21,none,4138
48775,10,spam,4138
48775,7,none,4138
48775,16,spam,4138
48775,11,none,4138
48775,10,none,4138
48775,12,none,4138
48775,6,spam,4138
48775,12,none,4138
48775,21,none,4138
48775,12,none,4138
48775,4,none,4138
48775,14,spam,4138
48775,11,none,4138
48775,15,none,4138
48775,18,none,4138
48775,12,none,4138
48775,23,none,4138
48775,5,none,4138
48775,15,none,4138
48775,8,none,4138
48775,8,none,4138
48775,9,none,4138
48775,16,none,4138
48775,21,none,4138
48775,14,spam,4138
48775,16,none,4138
48775,11,none,4138
48775,19,none,4138
48775,4,none,4138
48775,18,none,4138
48775,21,none,4138
48775,11,none,4138
48775,6,none,4138
48775,11,spam,4138
48775,21,none,4138
48775,17,none,4138
48775,18,none,4138
48775,8,none,4138
48775,7,none,4138
48775,10,none,4138
48775,10,none,4138
48775,12,none,4138
48775,21,none,4138
48775,7,none,4138
48775,4,none,4138
48775,16,none,4138
48775,14,none,4138
48775,8,spam,4138
48775,6,none,4138
48775,9,none,4138
48775,17,none,4138
48775,5,none,4138
48775,15,none,4138
48775,23,none,4138
48775,8,none,4138
48775,17,none,4138
48775,6,spam,4138
48775,16,none,4138
48775,16,none,4138
48775,20,none,4138
48775,10,none,4138
48775,8,none,4138
48775,4,none,4138
48775,4,spam,4138
48775,8,none,4138
48775,15,none,4138
48775,12,none,4138
48775,12,none,4138
48775,6,none,4138
48775,11,none,4138
48775,21,none,4138
48775,19,none,4138
48775,9,none,4138
48775,23,none,4138
48775,19,none,4138
48775,8,none,4138
48775,12,none,4138
48775,8,none,4138
48775,16,spam,4138
48775,12,none,4138
48775,4,none,4138
48775,17,none,4138
48775,4,none,4138
48775,6,none,4138
48775,12,spam,4138
48775,15,none,4138
48775,11,none,4138
48775,18,none,4138
48775,9,none,4138
48775,6,spam,4138
48775,20,none,4138
48775,8,none,4138
48775,9,none,4138
48775,17,none,4138
48775,20,none,4138
48775,22,none,4138
48775,8,none,4138
48775,23,none,4138
48775,15,none,4138
48775,16,none,4138
48775,18,none,4138
48775,22,none,4138
48775,6,none,4138
48775,8,none,4138
48775,17,none,4138
48775,23,none,4138
48775,14,none,4138
48775,14,none,4138
48775,5,spam,4138
48775,9,none,4138
48775,16,none,4138
48775,19,none,4138
48775,16,none,4138
48775,17,spam,4138
48775,8,none,4138
48775,22,none,4138
48775,21,none,4138
48775,22,none,4138
48775,23,none,4138
48775,20,none,4138
48775,16,none,4138
48775,18,none,4138
48775,15,none,4138
48775,21,none,4138
48775,9,none,4138
48775,14,none,4138
48775,11,none,4138
48775,22,none,4138
48775,20,none,4138
48775,15,spam,4138
48775,15,none,4138
48775,8,none,4138
48775,18,none,4138
48775,13,none,4138
48775,19,none,4138
48775,5,none,4138
48775,14,spam,4138
48775,10,none,4138
48775,8,spam,4138
48775,12,none,4138
48775,8,spam,4138
48775,13,none,4138
48775,23,none,4138
48775,11,none,4138
48775,23,none,4138
48775,11,none,4138
48775,11,none,4138
48775,17,none,4138
48775,15,none,4138
48775,20,none,4138
48775,14,none,4138
48775,11,none,4138
48775,4,none,4138
48775,7,none,4138
48775,7,none,4138
48775,21,none,4138
48775,5,none,4138
48775,21,none,4138
48775,18,spam,4138
48775,18,none,4138
48775,20,none,4138
48775,8,none,4138
48775,4,none,4138
48775,18,none,4138
48775,21,none,4138
48775,14,none,4138
48775,23,none,4138
48775,9,spam,4138
48775,5,none,4138
48775,11,spam,4138
48775,19,spam,4138
48775,21,none,4138
48775,16,none,4138
48775,19,none,4138
48775,19,none,4138
48775,22,none,4138
48775,18,none,4138
48775,11,none,4138
48775,17,none,4138
48775,23,none,4138
48775,19,spam,4138
48775,16,none,4138
48775,10,none,4138
48775,6,none,4138
48775,23,none,4138
48775,7,none,4138
48775,23,none,4138
48775,10,spam,4138
48775,5,none,4138
48775,13,none,4138
48775,22,none,4138
48775,7,none,4138
48775,11,none,4138
48775,15,none,4138
48775,4,none,4138
48775,19,spam,4138
48775,8,none,4138
48775,15,none,4138
48775,12,none,4138
48775,9,none,4138
48775,12,spam,4138
48775,10,none,4138
48775,8,none,4138
48775,6,none,4138
48775,9,none,4138
48775,18,none,4138
48775,16,none,4138
48775,21,none,4138
48775,18,none,4138
48775,7,none,4138
48775,14,none,4138
48775,13,spam,4138
48775,19,none,4138
48775,5,none,4138
48775,8,none,4138
48775,8,none,4138
48775,12,none,4138
48775,21,none,4138
48775,19,none,4138
48775,4,none,4138
48775,23,none,4138
48775,22,none,4138
48775,6,none,4138
48775,22,none,4138
48775,23,none,4138
48775,7,none,4138
48775,18,none,4138
48775,7,none,4138
48775,21,none,4138
48775,13,none,4138
48775,8,none,4138
48775,13,none,4138
48775,20,none,4138
48775,16,none,4138
48775,22,none,4138
48775,22,none,4138
48775,5,none,4138
48775,10,none,4138
48775,5,none,4138
48775,8,none,4138
48775,9,none,4138
48775,22,none,4138
48775,13,none,4138
48775,19,none,4138
48775,10,none,4138
48775,9,none,4138
48775,5,none,4138
48775,15,none,4138
48775,14,none,4138
48775,7,none,4138
48775,14,none,4138
48775,18,none,4138
48775,13,none,4138
48775,23,none,4138
48775,18,spam,4138
48775,12,none,4138
48775,22,none,4138
48775,17,none,4138
48775,9,none,4138
48775,14,none,4138
48775,4,none,4138
48775,4,none,4138
48775,11,none,4138
48775,8,none,4138
48775,5,none,4138
48775,17,spam,4138
48775,20,none,4138
48775,4,spam,4138
48775,5,none,4138
48775,13,none,4138
48775,7,none,4138
48775,19,none,4138
48775,12,none,4138
48775,19,none,4138
48775,9,none,4138
48775,8,none,4138
48775,9,none,4138
48775,14,none,4138
48775,13,none,4138
48775,23,none,4138
48775,8,none,4138
48775,13,spam,4138
48775,14,spam,4138
48775,12,none,4138
48775,4,none,4138
48775,10,none,4138
48775,22,none,4138
48775,18,none,4138
48775,22,none,4138
48775,14,spam,4138
48775,22,none,4138
